competition,season,rank,squad,games,wins,draws,losses,goals_for,goals_against,goal_diff,points
Ligue 1,2020-2021,1,Lille,38,24,11,3,64,23,41,83
Ligue 1,2020-2021,2,Paris S-G,38,26,4,8,86,28,58,82
Ligue 1,2020-2021,3,Monaco,38,24,6,8,76,42,34,78
Ligue 1,2020-2021,4,Lyon,38,22,10,6,81,43,38,76
Ligue 1,2020-2021,5,Marseille,38,16,12,10,54,47,7,60
Ligue 1,2020-2021,6,Rennes,38,16,10,12,52,40,12,58
Ligue 1,2020-2021,7,Lens,38,15,12,11,55,54,1,57
Ligue 1,2020-2021,8,Montpellier,38,14,12,12,60,62,-2,54
Ligue 1,2020-2021,9,Nice,38,15,7,16,50,53,-3,52
Ligue 1,2020-2021,10,Metz,38,12,11,15,44,48,-4,47
Ligue 1,2020-2021,11,Saint-Étienne,38,12,10,16,42,54,-12,46
Ligue 1,2020-2021,12,Bordeaux,38,13,6,19,42,56,-14,45
Ligue 1,2020-2021,13,Angers,38,12,8,18,40,58,-18,44
Ligue 1,2020-2021,14,Reims,38,9,15,14,42,50,-8,42
Ligue 1,2020-2021,15,Strasbourg,38,11,9,18,49,58,-9,42
Ligue 1,2020-2021,16,Lorient,38,11,9,18,50,68,-18,42
Ligue 1,2020-2021,17,Brest,38,11,8,19,50,66,-16,41
Ligue 1,2020-2021,18,Nantes,38,9,13,16,47,55,-8,40
Ligue 1,2020-2021,19,Nîmes,38,9,8,21,40,71,-31,35
Ligue 1,2020-2021,20,Dijon,38,4,9,25,25,73,-48,21
