Team,Rank,P,M,W,D,L,G,GA,GD
Paris Saint-Germain,1,86,38,26,8,4,90,36,54
Marseille,2,71,38,21,8,9,63,38,25
Monaco,3,69,38,20,9,9,65,40,25
Rennes,4,66,38,20,6,12,82,40,42
Nice,5,66,38,20,7,11,52,36,16
Strasbourg,6,63,38,17,12,9,60,43,17
Lens,7,62,38,17,11,10,62,48,14
Lyon,8,61,38,17,11,10,66,51,15
Nantes,9,55,38,15,10,13,55,48,7
Lille,10,55,38,14,13,11,48,48,0
Brest,11,48,38,13,9,16,49,57,-8
Reims,12,46,38,11,13,14,43,44,-1
Montpellier,13,43,38,12,7,19,49,61,-12
Angers,14,41,38,10,11,17,44,55,-11
Troyes,15,38,38,9,11,18,37,53,-16
Lorient,16,36,38,8,12,18,35,63,-28
Clermont Foot,17,36,38,9,9,20,38,69,-31
St. Etienne,18,32,38,7,11,20,42,77,-35
Metz,19,31,38,6,13,19,35,69,-34
Bordeaux,20,31,38,6,13,19,52,91,-39
